source_id,source_type,target_id,target_type,relationship,link,status,start_date,end_date,source_leak
13001828,person,10155456,company,officer_of,beneficiary of,,,,Panama Papers
13006286,person,10122953,company,officer_of,beneficiary of,,,,Panama Papers
13010742,person,10203385,company,officer_of,beneficiary of,,,,Panama Papers
15001401,person,10034912,company,officer_of,director of,,,,Panama Papers
15001902,person,10210092,company,officer_of,shareholder of,,,,Panama Papers
15001903,person,10122953,company,officer_of,signatory of,,,,Panama Papers
15002701,person,10179083,company,officer_of,director of,,,,Panama Papers
15001903,person,10203385,company,officer_of,signatory of,,,,Panama Papers
12129717,person,10155456,company,officer_of,beneficial owner of,,,,Panama Papers
12176796,person,10179028,company,officer_of,shareholder of,,31-MAY-2001,31-MAY-2001,Panama Papers
12176796,person,10177338,company,officer_of,shareholder of,,25-JUN-1992,25-APR-1997,Panama Papers
12176796,person,10177338,company,officer_of,shareholder of,,02-OCT-2003,,Panama Papers
12176796,person,10175155,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10178871,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10120598,company,officer_of,shareholder of,,04-JUL-2005,,Panama Papers
12176796,person,10114150,company,officer_of,shareholder of,,14-FEB-2005,17-JUL-2012,Panama Papers
12176796,person,10200971,company,officer_of,shareholder of,,02-MAR-2004,04-NOV-2014,Panama Papers
12176796,person,10107216,company,officer_of,shareholder of,,27-AUG-2004,12-JUL-2010,Panama Papers
12176796,person,10097641,company,officer_of,shareholder of,,10-FEB-2005,08-JUL-2015,Panama Papers
12176796,person,10093486,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10102266,company,officer_of,shareholder of,,05-MAR-2002,08-JAN-2010,Panama Papers
12129717,person,10155456,company,officer_of,shareholder of,,21-AUG-2014,,Panama Papers
12176796,person,10177398,company,officer_of,shareholder of,,03-JUL-2006,,Panama Papers
12176796,person,10124904,company,officer_of,shareholder of,,12-MAY-2003,14-NOV-2012,Panama Papers
12176796,person,10110764,company,officer_of,shareholder of,,19-MAY-2005,,Panama Papers
12176796,person,10112944,company,officer_of,shareholder of,,05-APR-2004,,Panama Papers
12176796,person,10104962,company,officer_of,shareholder of,,07-APR-2004,,Panama Papers
12176796,person,10096949,company,officer_of,shareholder of,,24-FEB-2003,,Panama Papers
12176796,person,10105624,company,officer_of,shareholder of,,19-DEC-2003,,Panama Papers
12176796,person,10108855,company,officer_of,shareholder of,,11-NOV-2003,,Panama Papers
12176796,person,10198976,company,officer_of,shareholder of,,16-JUN-2003,,Panama Papers
12176796,person,10094885,company,officer_of,shareholder of,,31-MAY-2002,20-MAY-2015,Panama Papers
12176796,person,10086312,company,officer_of,shareholder of,,21-MAY-2001,,Panama Papers
12176796,person,10093473,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10202418,company,officer_of,shareholder of,,02-FEB-2001,,Panama Papers
12176796,person,10082734,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10063908,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10185311,company,officer_of,shareholder of,,27-SEP-2000,,Panama Papers
12176796,person,10169708,company,officer_of,shareholder of,,23-MAR-1992,,Panama Papers
12176796,person,10178327,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12161441,person,10206223,company,officer_of,shareholder of,,31-DEC-2009,,Panama Papers
12161441,person,10206223,company,officer_of,shareholder of,,09-OCT-2007,,Panama Papers
12161442,person,10206223,company,officer_of,shareholder of,,09-OCT-2007,31-DEC-2009,Panama Papers
12176796,person,10203385,company,officer_of,shareholder of,,04-JUL-2006,,Panama Papers
12025226,person,10203385,company,officer_of,shareholder of,,29-APR-1993,04-JUL-2006,Panama Papers
12114024,person,10122953,company,officer_of,shareholder of,,04-JUL-2006,,Panama Papers
12114025,person,10122953,company,officer_of,shareholder of,,04-JUL-2006,,Panama Papers
12176796,person,10126084,company,officer_of,shareholder of,,03-OCT-2005,03-OCT-2014,Panama Papers
12176796,person,10114521,company,officer_of,shareholder of,,01-JUN-2006,,Panama Papers
12176796,person,10121634,company,officer_of,shareholder of,,05-MAR-2002,15-FEB-2007,Panama Papers
12176796,person,10124267,company,officer_of,shareholder of,,22-FEB-1993,20-MAY-2015,Panama Papers
12176796,person,10117089,company,officer_of,shareholder of,,30-JUN-2004,28-MAY-2013,Panama Papers
12176796,person,10112338,company,officer_of,shareholder of,,08-MAR-2005,,Panama Papers
12176796,person,10104967,company,officer_of,shareholder of,,19-JUL-2004,,Panama Papers
12176796,person,10205379,company,officer_of,shareholder of,,06-AUG-2004,,Panama Papers
12176796,person,10200986,company,officer_of,shareholder of,,06-FEB-2004,27-MAR-2008,Panama Papers
12176796,person,10096072,company,officer_of,shareholder of,,25-FEB-2003,23-NOV-2015,Panama Papers
12176796,person,10103317,company,officer_of,shareholder of,,12-JUN-2003,,Panama Papers
12176796,person,10198707,company,officer_of,shareholder of,,17-JUL-2003,,Panama Papers
12176796,person,10100193,company,officer_of,shareholder of,,28-FEB-2002,,Panama Papers
12176796,person,10100193,company,officer_of,shareholder of,,03-NOV-2003,,Panama Papers
12176796,person,10091516,company,officer_of,shareholder of,,09-AUG-2001,,Panama Papers
12176796,person,10090075,company,officer_of,shareholder of,,10-MAR-2005,08-JUL-2015,Panama Papers
12176796,person,10078501,company,officer_of,shareholder of,,05-MAR-2002,18-MAY-2015,Panama Papers
12176796,person,10199651,company,officer_of,shareholder of,,17-OCT-2002,,Panama Papers
12176796,person,10066743,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10081904,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10066739,company,officer_of,shareholder of,,05-MAR-2002,24-APR-2006,Panama Papers
12176796,person,10082649,company,officer_of,shareholder of,,05-MAR-2002,03-SEP-2008,Panama Papers
12176796,person,10075780,company,officer_of,shareholder of,,05-MAR-2002,24-SEP-2015,Panama Papers
12176796,person,10199125,company,officer_of,shareholder of,,01-MAR-2002,,Panama Papers
12176796,person,10086579,company,officer_of,shareholder of,,24-MAY-2004,,Panama Papers
12176796,person,10200759,company,officer_of,shareholder of,,01-MAR-2002,,Panama Papers
12176796,person,10093307,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10090393,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10092104,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10092106,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10088728,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10093494,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10202592,company,officer_of,shareholder of,,07-FEB-2005,,Panama Papers
12176796,person,10094056,company,officer_of,shareholder of,,03-APR-2001,,Panama Papers
12176796,person,10090180,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10090180,company,officer_of,shareholder of,,23-MAY-2005,,Panama Papers
12176796,person,10089408,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10091540,company,officer_of,shareholder of,,19-MAR-2002,31-OCT-2005,Panama Papers
12176796,person,10090096,company,officer_of,shareholder of,,29-APR-2002,,Panama Papers
12176796,person,10099709,company,officer_of,shareholder of,,18-APR-2002,,Panama Papers
12176796,person,10101865,company,officer_of,shareholder of,,19-JUN-2002,,Panama Papers
12114024,person,10091842,company,officer_of,shareholder of,,09-DEC-2010,14-MAR-2011,Panama Papers
12176796,person,10101194,company,officer_of,shareholder of,,07-JUN-2005,,Panama Papers
12176796,person,10101194,company,officer_of,shareholder of,,18-SEP-2002,,Panama Papers
12176796,person,10103058,company,officer_of,shareholder of,,13-JUN-2003,,Panama Papers
12176796,person,10098284,company,officer_of,shareholder of,,27-JUN-2003,,Panama Papers
12176796,person,10099063,company,officer_of,shareholder of,,15-SEP-2003,,Panama Papers
12176796,person,10099889,company,officer_of,shareholder of,,16-OCT-2003,,Panama Papers
12176796,person,10105785,company,officer_of,shareholder of,,10-NOV-2003,,Panama Papers
12176796,person,10100117,company,officer_of,shareholder of,,24-MAR-2005,,Panama Papers
12176796,person,10200239,company,officer_of,shareholder of,,25-NOV-2003,,Panama Papers
12176796,person,10104202,company,officer_of,shareholder of,,21-NOV-2003,,Panama Papers
12176796,person,10101693,company,officer_of,shareholder of,,12-DEC-2003,,Panama Papers
12176796,person,10200324,company,officer_of,shareholder of,,15-DEC-2003,24-MAY-2006,Panama Papers
12176796,person,10200324,company,officer_of,shareholder of,,18-MAY-2004,24-MAY-2006,Panama Papers
12176796,person,10200751,company,officer_of,shareholder of,,02-FEB-2004,,Panama Papers
12114025,person,10108842,company,officer_of,shareholder of,,16-FEB-2010,15-JUN-2011,Panama Papers
12114024,person,10108842,company,officer_of,shareholder of,,16-FEB-2010,15-JUN-2011,Panama Papers
12176796,person,10106473,company,officer_of,shareholder of,,07-APR-2004,,Panama Papers
12176796,person,10204408,company,officer_of,shareholder of,,25-JUN-2004,,Panama Papers
12176796,person,10106155,company,officer_of,shareholder of,,04-NOV-2004,,Panama Papers
12176796,person,10117137,company,officer_of,shareholder of,,09-JUN-2005,17-AUG-2006,Panama Papers
12176796,person,10110970,company,officer_of,shareholder of,,03-OCT-2005,03-JUL-2006,Panama Papers
12176796,person,10116732,company,officer_of,shareholder of,,05-APR-2004,,Panama Papers
12176796,person,10120492,company,officer_of,shareholder of,,27-JUN-2005,,Panama Papers
12176796,person,10114012,company,officer_of,shareholder of,,04-DEC-2001,,Panama Papers
12176796,person,10206129,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10117486,company,officer_of,shareholder of,,24-JAN-2006,16-NOV-2015,Panama Papers
12176796,person,10124860,company,officer_of,shareholder of,,21-NOV-2006,,Panama Papers
12120458,person,10210092,company,officer_of,shareholder of,,24-APR-2007,,Panama Papers
12176796,person,10175113,company,officer_of,shareholder of,,16-MAR-1994,,Panama Papers
12176796,person,10182721,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10175730,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10181795,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10174136,company,officer_of,shareholder of,,01-MAR-2002,,Panama Papers
12176796,person,10211538,company,officer_of,shareholder of,,01-MAR-2002,,Panama Papers
12176796,person,10181424,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12176796,person,10182411,company,officer_of,shareholder of,,17-JUL-2003,,Panama Papers
12176796,person,10179416,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12099181,person,10204952,company,officer_of,shareholder of,,18-SEP-2013,,Panama Papers
12188672,person,10204952,company,officer_of,shareholder of,,25-JUN-2012,,Panama Papers
12191504,person,10204952,company,officer_of,shareholder of,,06-AUG-2012,,Panama Papers
12136589,person,10204952,company,officer_of,shareholder of,,20-NOV-2006,,Panama Papers
12176796,person,10183256,company,officer_of,shareholder of,,31-MAY-2001,,Panama Papers
12114025,person,10139061,company,officer_of,shareholder of,,28-FEB-2011,,Panama Papers
12114024,person,10139061,company,officer_of,shareholder of,,28-FEB-2011,,Panama Papers
12176796,person,10180417,company,officer_of,shareholder of,,28-JUN-2002,20-DEC-2007,Panama Papers
12176796,person,10175686,company,officer_of,shareholder of,,31-MAY-2001,24-MAY-2013,Panama Papers
12176796,person,10127477,company,officer_of,shareholder of,,31-MAR-2006,17-JUL-2012,Panama Papers
12176796,person,10202867,company,officer_of,shareholder of,,02-JUN-2005,17-MAR-2006,Panama Papers
12176796,person,10202867,company,officer_of,shareholder of,,21-MAR-2006,15-APR-2014,Panama Papers
12176796,person,10201600,company,officer_of,shareholder of,,15-DEC-2004,,Panama Papers
12176796,person,10108611,company,officer_of,shareholder of,,22-DEC-2004,,Panama Papers
12176796,person,10100765,company,officer_of,shareholder of,,25-NOV-2002,,Panama Papers
12114025,person,10093510,company,officer_of,shareholder of,,15-NOV-2002,08-AUG-2011,Panama Papers
12114024,person,10093510,company,officer_of,shareholder of,,15-NOV-2002,08-AUG-2011,Panama Papers
12176796,person,10105412,company,officer_of,shareholder of,,08-OCT-2003,03-OCT-2014,Panama Papers
12176796,person,10089022,company,officer_of,shareholder of,,21-MAY-2001,,Panama Papers
12176796,person,10202503,company,officer_of,shareholder of,,26-MAR-2001,18-JAN-2012,Panama Papers
12176796,person,10089278,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10091952,company,officer_of,shareholder of,,06-MAR-2002,10-OCT-2003,Panama Papers
12176796,person,10091952,company,officer_of,shareholder of,,09-NOV-2001,06-MAR-2002,Panama Papers
12176796,person,10091952,company,officer_of,shareholder of,,28-FEB-2002,06-MAR-2002,Panama Papers
12176796,person,10091952,company,officer_of,shareholder of,,10-OCT-2003,,Panama Papers
12176796,person,10097498,company,officer_of,shareholder of,,05-MAR-2002,02-SEP-2011,Panama Papers
12114024,person,10064597,company,officer_of,shareholder of,,24-MAR-2010,,Panama Papers
12114025,person,10064597,company,officer_of,shareholder of,,24-MAR-2010,,Panama Papers
12176796,person,10063744,company,officer_of,shareholder of,,19-MAY-2005,,Panama Papers
12176796,person,10070798,company,officer_of,shareholder of,,05-MAR-2002,,Panama Papers
12176796,person,10111326,company,officer_of,shareholder of,,15-DEC-2003,21-SEP-2010,Panama Papers
12114025,person,10148244,company,officer_of,shareholder of,,11-JUN-2010,16-DEC-2014,Panama Papers
